epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,379.41,0.44776,0.32192,0.80583,0.97203,0.94858,0.98473,0.93344,0.4116,0.32306,0.80035,0.00542287,0.00542287,0.00542287
121,381.973,0.43284,0.31586,0.81274,0.97413,0.94858,0.98476,0.94075,0.37935,0.31689,0.80253,0.00536081,0.00536081,0.00536081
122,384.846,0.43965,0.31919,0.81229,0.92927,0.99445,0.9853,0.92695,0.38235,0.31239,0.79931,0.00529871,0.00529871,0.00529871
123,387.689,0.45534,0.33577,0.82864,0.92492,0.99545,0.9678,0.92871,0.34782,0.30154,0.79736,0.00523657,0.00523657,0.00523657
124,390.326,0.43726,0.31251,0.82049,0.92442,0.99545,0.95511,0.90836,0.37062,0.34069,0.80059,0.00517439,0.00517439,0.00517439
125,392.937,0.4338,0.3133,0.80254,0.93985,0.99545,0.98262,0.93878,0.36527,0.31406,0.79583,0.0051122,0.0051122,0.0051122
126,395.705,0.42911,0.30794,0.80616,0.93262,0.99545,0.98255,0.94026,0.37912,0.31598,0.79836,0.00505,0.00505,0.00505
127,398.477,0.41218,0.29471,0.81402,0.92902,0.99444,0.98533,0.93171,0.37959,0.30588,0.79625,0.0049878,0.0049878,0.0049878
128,400.853,0.41656,0.29584,0.82534,0.96865,0.96242,0.98856,0.95222,0.36624,0.28632,0.79881,0.00492561,0.00492561,0.00492561
129,403.726,0.42259,0.30591,0.81732,0.96734,0.97983,0.98864,0.93483,0.36697,0.28959,0.79521,0.00486343,0.00486343,0.00486343
130,406.59,0.42747,0.31167,0.82636,0.96853,0.99545,0.99031,0.94838,0.36215,0.28197,0.79464,0.00480129,0.00480129,0.00480129
131,409.275,0.43627,0.31188,0.82301,0.9736,0.96147,0.98744,0.93642,0.35165,0.28964,0.79031,0.00473919,0.00473919,0.00473919
132,412.163,0.40868,0.31883,0.80825,0.97806,0.96398,0.98588,0.95223,0.34034,0.28446,0.78894,0.00467713,0.00467713,0.00467713
133,414.811,0.45582,0.3247,0.8392,0.97402,0.97681,0.98742,0.95015,0.36398,0.29022,0.79249,0.00461514,0.00461514,0.00461514
134,417.497,0.38692,0.29265,0.79938,0.97498,0.98651,0.98901,0.94788,0.3663,0.2975,0.79544,0.00455321,0.00455321,0.00455321
135,420.281,0.40408,0.30009,0.81317,0.94949,0.99545,0.98574,0.95467,0.3432,0.28211,0.79009,0.00449136,0.00449136,0.00449136
136,422.891,0.38939,0.29415,0.80597,0.94144,0.99398,0.98379,0.94743,0.36258,0.3117,0.79024,0.0044296,0.0044296,0.0044296
137,425.619,0.40662,0.3743,0.82411,0.93435,0.99545,0.98383,0.94773,0.34996,0.29524,0.78752,0.00436794,0.00436794,0.00436794
138,428.21,0.40931,0.29446,0.81162,0.92905,0.99545,0.98387,0.9458,0.33457,0.28014,0.79216,0.00430638,0.00430638,0.00430638
139,430.626,0.39003,0.29626,0.81679,0.93874,0.99545,0.98424,0.93946,0.3696,0.28974,0.79025,0.00424495,0.00424495,0.00424495
140,433.238,0.4105,0.3192,0.82274,0.96874,0.98926,0.98904,0.95775,0.3541,0.28155,0.78761,0.00418364,0.00418364,0.00418364
141,435.958,0.39669,0.29096,0.78999,0.97607,0.97621,0.99008,0.95896,0.34873,0.28797,0.79099,0.00412246,0.00412246,0.00412246
142,438.652,0.38493,0.28714,0.80627,0.95137,0.99223,0.98941,0.94672,0.35928,0.29345,0.79161,0.00406144,0.00406144,0.00406144
143,441.338,0.36963,0.2772,0.80116,0.96061,0.99841,0.9895,0.95204,0.32857,0.25739,0.78246,0.00400056,0.00400056,0.00400056
144,444.121,0.3969,0.3061,0.81124,0.96383,0.99796,0.99036,0.9648,0.33433,0.25499,0.7868,0.00393986,0.00393986,0.00393986
145,447.403,0.36618,0.28066,0.80931,0.94853,1,0.98704,0.95265,0.33252,0.26081,0.78466,0.00387933,0.00387933,0.00387933
146,450.337,0.4194,0.30659,0.81525,0.9556,0.99953,0.9895,0.9578,0.33211,0.27748,0.78394,0.00381899,0.00381899,0.00381899
147,453.06,0.38859,0.29587,0.7999,0.97455,0.99985,0.99132,0.95253,0.33498,0.26787,0.78257,0.00375883,0.00375883,0.00375883
148,455.575,0.38351,0.29306,0.79882,0.98001,0.99649,0.99132,0.94821,0.3235,0.26386,0.78245,0.00369889,0.00369889,0.00369889
149,458.209,0.376,0.29229,0.80136,0.97953,0.99545,0.99115,0.95051,0.34342,0.28672,0.79037,0.00363915,0.00363915,0.00363915
150,460.747,0.37198,0.28153,0.79646,0.9767,0.99545,0.98995,0.95733,0.33089,0.26772,0.79232,0.00357964,0.00357964,0.00357964
151,463.603,0.35692,0.29658,0.79983,0.96369,0.98122,0.98807,0.95126,0.33938,0.27513,0.79311,0.00352037,0.00352037,0.00352037
152,466.377,0.36598,0.27862,0.79261,0.94848,0.99315,0.98634,0.94431,0.3459,0.28447,0.79252,0.00346133,0.00346133,0.00346133
153,469.072,0.36804,0.27689,0.79962,0.95347,0.99545,0.98729,0.9417,0.32182,0.27451,0.78992,0.00340254,0.00340254,0.00340254
154,471.663,0.36276,0.27834,0.80594,0.97085,0.99545,0.98997,0.93786,0.33773,0.27471,0.7896,0.00334402,0.00334402,0.00334402
155,474.326,0.35666,0.28316,0.80354,0.97849,0.9926,0.99193,0.96099,0.31395,0.24723,0.78857,0.00328576,0.00328576,0.00328576
156,477.198,0.36205,0.2719,0.80846,0.97566,0.99545,0.99108,0.94369,0.31938,0.25508,0.78969,0.00322778,0.00322778,0.00322778
157,480.16,0.37504,0.28704,0.79929,0.93731,0.99225,0.9864,0.93653,0.32087,0.27172,0.78856,0.00317009,0.00317009,0.00317009
158,482.947,0.34826,0.27312,0.80744,0.94485,0.96742,0.9864,0.95141,0.31458,0.27697,0.78755,0.0031127,0.0031127,0.0031127
159,485.659,0.36892,0.29881,0.80661,0.93474,0.98712,0.98652,0.95312,0.32808,0.2895,0.78799,0.00305561,0.00305561,0.00305561
160,488.399,0.35368,0.27337,0.8065,0.94116,0.99419,0.98656,0.95582,0.31466,0.28188,0.78862,0.00299884,0.00299884,0.00299884
161,491.075,0.3422,0.26587,0.80023,0.94668,0.99545,0.9864,0.95622,0.31489,0.2695,0.78952,0.00294239,0.00294239,0.00294239
162,493.499,0.34716,0.26387,0.80116,0.94548,0.99545,0.98532,0.94584,0.3227,0.27117,0.79217,0.00288628,0.00288628,0.00288628
163,496.136,0.35734,0.27036,0.79068,0.94619,0.99545,0.98504,0.95167,0.31843,0.25875,0.79352,0.0028305,0.0028305,0.0028305
164,498.714,0.36479,0.26835,0.79589,0.94739,0.99545,0.98547,0.95355,0.31419,0.25406,0.79108,0.00277508,0.00277508,0.00277508
165,501.293,0.34789,0.26237,0.79792,0.94546,0.99545,0.98705,0.95142,0.31589,0.2511,0.79096,0.00272002,0.00272002,0.00272002
166,503.936,0.3433,0.26079,0.79857,0.94287,0.9978,0.98664,0.95057,0.31271,0.24699,0.79073,0.00266532,0.00266532,0.00266532
167,506.878,0.35765,0.26306,0.7982,0.96015,0.99671,0.99132,0.95982,0.31825,0.24415,0.79164,0.002611,0.002611,0.002611
168,509.703,0.32499,0.24994,0.7944,0.97477,0.99409,0.99124,0.95949,0.32223,0.2583,0.79009,0.00255707,0.00255707,0.00255707
169,512.408,0.32314,0.26288,0.79926,0.95134,0.99545,0.98871,0.9568,0.30969,0.25037,0.79233,0.00250352,0.00250352,0.00250352
170,515.103,0.32041,0.25652,0.78986,0.94835,0.99747,0.98714,0.95088,0.31929,0.26035,0.79033,0.00245039,0.00245039,0.00245039
171,517.85,0.34183,0.25206,0.79284,0.94463,0.99545,0.98652,0.95394,0.31762,0.26623,0.79036,0.00239766,0.00239766,0.00239766
172,520.429,0.31582,0.24142,0.79845,0.94168,0.99545,0.98648,0.95348,0.31583,0.27403,0.79022,0.00234535,0.00234535,0.00234535
173,522.989,0.3561,0.28263,0.80654,0.94497,0.99545,0.98648,0.95227,0.32579,0.26943,0.7893,0.00229347,0.00229347,0.00229347
174,525.551,0.37386,0.26316,0.81585,0.94761,0.99545,0.9864,0.95303,0.32167,0.26554,0.78982,0.00224202,0.00224202,0.00224202
175,528.123,0.34037,0.25179,0.78879,0.94547,0.99529,0.98644,0.95692,0.31151,0.2618,0.79053,0.00219102,0.00219102,0.00219102
176,530.771,0.35633,0.25761,0.81512,0.94137,0.99545,0.9864,0.95958,0.30598,0.26962,0.78939,0.00214046,0.00214046,0.00214046
177,533.546,0.31758,0.24623,0.79972,0.93592,0.99545,0.98539,0.95811,0.29502,0.27014,0.78674,0.00209037,0.00209037,0.00209037
178,536.512,0.31236,0.24116,0.78717,0.93664,0.99545,0.9864,0.95613,0.30392,0.26865,0.78697,0.00204075,0.00204075,0.00204075
179,539.235,0.3504,0.25566,0.79188,0.93697,0.99545,0.98648,0.95638,0.30909,0.26848,0.78813,0.00199159,0.00199159,0.00199159
180,541.938,0.29922,0.24406,0.78454,0.92949,0.99545,0.98652,0.95724,0.29623,0.2612,0.78538,0.00194293,0.00194293,0.00194293
181,544.672,0.32616,0.24348,0.79845,0.97203,0.94858,0.98705,0.9601,0.29013,0.25142,0.78034,0.00189475,0.00189475,0.00189475
